cuisine,dishes
Afghan,"['chicken', 'beef', 'lamb', 'meat', 'hummus', 'gyro', 'pita', 'spinach', 'garlic', 'sandwich', 'cucumber', 'onion', 'dumplings', 'lemon', 'french fries']"
African,"['chicken', 'margaritas', 'meat', 'beef', 'cheese', 'sandwich', 'shrimp', 'steak', 'lamb', 'potatoes', 'beans', 'pork', 'onion', 'bacon', 'garlic']"
American (New),"['chicken', 'cheese', 'sandwich', 'steak', 'bacon', 'meat', 'beef', 'pizza', 'potatoes', 'pork', 'shrimp', 'salmon', 'lobster', 'pasta', 'sweet potato']"
American (Traditional),"['chicken', 'cheese', 'steak', 'sandwich', 'bacon', 'meat', 'beef', 'potatoes', 'onion', 'shrimp', 'pork', 'pizza', 'garlic', 'lobster', 'sweet potato']"
Arabian,"['hummus', 'chicken', 'pita', 'gyro', 'lamb', 'meat', 'garlic', 'beef', 'sandwich', 'olives', 'cheese', 'olive', 'olive oil', 'hot sauce', 'iced tea']"
Brazilian,"['meat', 'salad bar', 'chicken', 'lamb', 'steak', 'bacon', 'pork', 'filet', 'cheese', 'beef', 'potatoes', 'filet mignon', 'garlic', 'mashed potatoes', 'lobster']"
Caribbean,"['chicken', 'pork', 'shrimp', 'beans', 'cheese', 'meat', 'sweet potato', 'sandwich', 'beef', 'potatoes', 'bacon', 'steak', 'pulled pork', 'fried chicken', 'pasta']"
Chinese,"['chicken', 'beef', 'pork', 'shrimp', 'fried rice', 'meat', 'dim sum', 'dumplings', 'broccoli', 'garlic', 'salt', 'beans', 'honey', 'cheese', 'mushrooms']"
Cantonese,"['dim sum', 'chicken', 'shrimp', 'pork', 'beef', 'fried rice', 'salt', 'garlic', 'meat', 'honey', 'broccoli', 'dumplings', 'lobster', 'beans', 'sea bass']"
Szechuan,"['chicken', 'fried rice', 'beans', 'pork', 'beef', 'cookie', 'burrito', 'shrimp', 'meat', 'garlic', 'lamb', 'chile', 'dumplings', 'cheese', 'onion']"
Cuban,"['beans', 'sandwich', 'pork', 'chicken', 'meat', 'beef', 'garlic', 'steak', 'shrimp', 'cheese', 'potatoes', 'salsa', 'chorizo', 'salt', 'pulled pork']"
Ethiopian,"['meat', 'beef', 'chicken', 'lamb', 'beans', 'potatoes', 'cheese', 'honey', 'onion', 'iced tea', 'spinach', 'steak', 'garlic', 'pizza', 'hummus']"
Filipino,"['pork', 'chicken', 'meat', 'beef', 'fried rice', 'garlic', 'ice cream', 'shrimp', 'fried chicken', 'pork belly', 'beans', 'steak', 'spaghetti', 'cheese', 'onion']"
French,"['steak', 'cheese', 'chicken', 'onion', 'foie gras', 'salmon', 'lobster', 'beef', 'meat', 'filet', 'potatoes', 'bacon', 'lamb', 'sandwich', 'mussels']"
